;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011
1995-12-31;0,990284;0,967214;-18,595837;-6,074095;2,76785;-13,590663;0,931586
1996-01-31;1,012068;0,994066;7,163197;2,73701;-0,036978;12,062628;1,061351
1996-02-29;0,995743;1,006636;4,311842;-9,527599;4,642218;2,006313;1,023066
1996-03-31;0,986238;1,039301;-23,210661;-4,519075;6,287005;3,195407;0,953888
1996-04-30;1,008943;1,019488;0,459335;6,09976;2,604001;-2,03355;1,000278
1996-05-31;1,001296;1,158036;0,309362;2,063716;0,605705;1,486586;1,031606
1996-06-30;0,997594;0,946338;-12,970512;-3,761237;-6,954885;-3,373924;0,972646
1996-07-31;1,005092;0,614046;11,710234;8,579157;-6,52516;-0,546163;1,134761
1996-08-31;1,015826;0,968469;0,14842;-1,116525;-4,379801;5,639564;1,066605
1996-09-30;0,99658;1,162929;-6,704546;-3,550143;-2,414893;-0,769545;1,034682
1996-10-31;0,984741;1,049239;17,408854;4,334377;7,616627;6,828004;1,081273
1996-11-30;1,004268;1,013987;-6,114292;-5,085232;5,269305;-2,763681;0,989342
1996-12-31;1,000797;1,002807;5,076794;0,37498;-28,732723;-8,825516;1,012151
1997-01-31;0,99299;0,992585;-0,77005;-14,433638;1,962306;-4,368796;1,047059
1997-02-28;1,024912;0,975502;7,576663;5,542297;12,221696;0,220396;1,018645
1997-03-31;0,997752;0,982542;-8,675386;-4,076483;-31,960174;-4,179117;0,970771
1997-04-30;1,006472;1,001918;48,093852;14,460855;9,165119;7,279475;1,124114
1997-05-31;0,994133;0,998427;-5,465926;-1,050428;-9,297733;3,763123;0,9904
1997-06-30;0,97195;1,051244;0,452836;-1,597453;5,823623;0,88411;0,99533
1997-07-31;1,009267;1,015811;-0,153624;5,504778;7,160287;0,167827;1,046738
1997-08-31;0,984134;0,981896;-10,134632;-3,53141;-3,186268;3,017605;0,94446
1997-09-30;1,002378;0,991879;4,890728;2,230673;2,451373;-6,922058;1,019074
1997-10-31;1,008893;0,973252;9,109277;3,419903;3,091367;12,668752;1,025373
1997-11-30;0,991096;0,97709;3,300367;-4,000471;-9,829439;-1,904837;0,94544
1997-12-31;1,015374;1,030838;5,985625;-1,933703;-2,564858;-1,836585;1,029444
1998-01-31;0,999441;1,017074;-8,819827;0,283471;7,619412;4,269279;0,995995
1998-02-28;0,998901;1,011906;-4,639607;1,717273;-3,897057;0,419007;0,966841
1998-03-31;1,003448;0,916322;9,073559;1,981645;5,761079;-1,82757;1,015984
1998-04-30;1,001895;1,068822;-1,086967;-0,111933;-9,955385;26,99234;1,041415
1998-05-31;0,995132;0,91492;-27,858815;-4,36745;3,609311;-2,14904;0,935312
1998-06-30;0,990094;0,96941;-1,350909;2,356075;-4,273931;-1,260168;1,018711
1998-07-31;1,012116;1,040258;3,44319;-0,368807;-7,483006;2,472062;1,02248
1998-08-31;0,99401;1,010755;-3,779065;-2,605346;5,765835;-4,676049;0,970217
1998-09-30;1,001399;0,98167;22,779187;4,136748;4,776601;3,247766;1,023723
1998-10-31;0,997565;1,006262;-32,795804;-0,741581;-1,468823;3,327681;0,969861
1998-11-30;1,048135;1,030776;1,690367;-1,719595;7,368665;-1,52398;1,01261
1998-12-31;1,005382;0,999633;5,465823;4,259994;-22,18204;4,178618;1,030734
1999-01-31;1,001749;0,96307;-7,511704;-0,175714;-2,907754;-0,690149;0,966022
1999-02-28;1,002222;0,98497;-7,231364;-7,68585;-0,245289;-2,065237;1,003048
1999-03-31;1,003224;1,112942;-0,604592;2,297143;-3,634086;0,22901;1,111087
1999-04-30;0,99012;0,96161;5,141242;0,992701;-4,703053;1,13672;0,97387
1999-05-31;0,886616;0,414884;-3,034674;-2,027699;3,107669;-4,900228;0,979987
1999-06-30;0,994484;0,999131;10,086318;7,808252;3,980777;14,222938;1,038397
1999-07-31;1,006165;1,116511;-0,640594;-3,205416;1,566748;0,650453;0,990221
1999-08-31;1,006168;0,999137;5,491477;1,186583;2,084309;0,381047;1,011542
1999-09-30;0,99368;1,023911;26,928663;1,630129;2,511228;4,261;1,009063
1999-10-31;1,006726;1,00971;-7,440704;-8,247711;-4,063495;-4,9255;0,960479
1999-11-30;1,002113;1,00513;-5,077505;-0,581877;-2,893133;2,755826;1,035635
1999-12-31;0,897027;0,958369;6,731964;1,334493;0,58966;18,508953;0,997031
2000-01-31;0,926164;0,994404;0,857086;-2,3695;-5,117735;-5,937775;0,957637
2000-02-29;0,96583;1,046608;-0,783324;7,415538;6,915541;0,984335;1,016204
2000-03-31;0,939401;1,010794;2,844067;6,986079;-6,48678;4,984016;1,038984
2000-04-30;0,849446;0,991973;-22,52651;-5,193891;7,49859;-2,761978;0,913017
2000-05-31;0,897767;0,862149;3,507558;15,85981;19,079584;15,857105;1,055988
2000-06-30;0,956536;0,535154;-4,430636;-5,970449;-1,958595;-3,230938;0,993303
2000-07-31;0,941863;0,979894;-6,946073;-7,442179;2,351688;-10,237577;0,951608
2000-08-31;0,996462;1,045911;26,162869;4,450615;-4,016384;0,395553;1,038134
2000-09-30;0,978923;0,979484;3,701732;-2,564355;-7,847212;2,119985;0,990503
2000-10-31;0,9674;1,001395;7,532955;-1,572218;-3,410317;1,915556;0,96553
2000-11-30;0,961724;1,026582;5,873341;5,560811;-0,705457;2,22285;0,810322
2000-12-31;1,003565;1,004821;-18,972032;-0,648963;6,672341;2,688182;0,867001
2001-01-31;0,998945;1,008298;4,092767;4,763769;9,877317;0,510424;0,932793
2001-02-28;0,99252;0,960959;-4,656351;0,952459;0,647844;-0,971602;0,934376
2001-03-31;0,989965;0,995525;2,94212;-5,927659;7,271563;-2,016164;0,921592
2001-04-30;0,996262;1,003291;-33,038105;-7,02113;-5,311341;-5,704819;0,993791
2001-05-31;1,002111;1,011809;-6,021387;4,030279;-5,668156;3,646395;0,993414
2001-06-30;0,999675;1,129232;3,543447;-1,066785;-6,6107;2,884447;0,954885
2001-07-31;0,992686;0,982343;4,249379;2,530162;1,17001;-0,075963;0,977688
2001-08-31;1,002762;0,992097;2,698475;3,493201;1,952516;5,925366;1,00087
2001-09-30;1,006872;0,999492;0,344493;-9,272828;0,706829;-1,699266;0,943685
2001-10-31;1,004975;1,012766;-4,888398;2,896278;5,580507;-4,205349;1,069763
2001-11-30;0,993644;0,823048;-0,989275;2,063859;3,164233;3,92142;1,042043
2001-12-31;0,982901;0,797389;-6,352628;-11,403368;-16,575903;-6,650451;0,926557
