;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011
1996-01-31;1,015884;1,091052;2,96625;-22,023128;17,161428;1,306983;1,020208
1996-02-29;0,916597;0,98782;-2,933725;-14,546082;-5,831461;0,582387;0,919194
1996-03-31;1,020829;1,076609;19,459624;5,731789;6,146859;11,454074;1,039252
1996-04-30;0,977928;1,027345;-0,144494;5,683774;-2,611791;2,537884;0,982558
1996-05-31;1,014296;0,957208;0,500515;3,360202;-13,200356;0,869905;1,015752
1996-06-30;0,985424;0,734895;11,221851;20,78936;4,056319;11,39868;0,992389
1996-07-31;1,020435;1,004372;10,276718;15,569917;-7,964556;25,343553;0,981226
1996-08-31;1,006888;1,026128;-48,727323;-17,658833;-39,196046;-51,938189;1,01633
1996-09-30;0,993713;0,965703;28,813894;12,972333;12,921675;8,166591;1,01298
1996-10-31;1,03521;1,030765;20,237621;16,873097;7,391115;9,64828;1,028529
1996-11-30;0,990281;1,050492;-2,359319;-4,170901;2,150813;-3,777308;0,967329
1996-12-31;1,024256;1,078675;-33,51503;-23,35805;18,506147;-16,597685;1,023194
1997-01-31;1,015828;1,076401;-1,373387;-21,801483;17,20681;2,236381;1,019895
1997-02-28;0,920336;0,984489;-4,958448;-13,642733;-4,296214;0,965163;0,921908
1997-03-31;1,019374;1,067912;18,506769;6,48783;7,35894;11,232246;1,033061
1997-04-30;0,97498;1,015044;0,223286;5,985991;-5,126509;2,863653;0,995471
1997-05-31;1,012153;0,933355;-0,453501;2,229572;-11,853235;0,485977;1,012123
1997-06-30;0,980271;0,740787;10,850044;20,124298;2,571756;10,17568;0,987325
1997-07-31;1,024703;1,009109;12,132523;16,082556;-8,362247;23,271634;0,987912
1997-08-31;1,008624;1,03363;-47,869496;-18,632838;-39,421452;-48,376867;1,011659
1997-09-30;0,994433;0,982576;27,870861;13,458346;13,308716;8,08689;1,01112
1997-10-31;1,035007;1,055739;22,184328;16,862816;7,129146;10,717668;1,022948
1997-11-30;0,986965;1,054517;-2,243114;-4,648579;2,933293;-3,7084;0,965589
1997-12-31;1,027254;1,073907;-31,218281;-23,372295;19,002075;-18,138837;1,03039
1998-01-31;1,015162;1,060128;-4,589299;-21,438441;16,087464;3,251364;1,018388
1998-02-28;0,925275;0,976269;-6,16919;-12,109222;-2,053748;0,910818;0,92501
1998-03-31;1,01891;1,0618;18,156634;7,03528;7,207929;10,965129;1,029013
1998-04-30;0,972705;0,996793;1,035659;5,663741;-7,476924;2,717413;1,007633
1998-05-31;1,012819;0,922221;-2,426374;1,253658;-10,974884;-0,187061;1,009593
1998-06-30;0,97569;0,759382;11,566915;19,429957;1,76315;9,305519;0,981545
1998-07-31;1,025531;1,012507;13,660781;16,489473;-7,135546;21,157695;0,988622
1998-08-31;1,009214;1,048016;-46,309973;-19,05547;-40,076578;-45,175968;1,011333
1998-09-30;0,994845;0,996761;27,847255;13,598889;13,865792;8,379772;1,00585
1998-10-31;1,03555;1,065775;21,692109;16,415918;6,348216;10,528346;1,017005
1998-11-30;0,983581;1,04612;-2,90351;-4,520032;3,935581;-2,499049;0,972841
1998-12-31;1,027922;1,067554;-30,98263;-23,801157;19,25116;-19,254293;1,032489
1999-01-31;1,015975;1,04477;-6,337699;-20,993728;13,738833;4,740927;1,018136
1999-02-28;0,92837;0,974212;-6,653257;-10,881376;0,347412;0,406896;0,926466
1999-03-31;1,02078;1,054875;18,662203;7,815175;6,734471;10,542471;1,028522
1999-04-30;0,971701;0,980836;1,673895;5,451549;-8,966863;2,087939;1,018027
1999-05-31;1,015655;0,920955;-2,096055;0,777787;-9,116086;-0,467547;1,009603
1999-06-30;0,97277;0,787681;11,979126;18,572661;1,267292;8,707219;0,970376
1999-07-31;1,022491;1,01523;14,43238;16,557498;-5,960121;19,241635;0,985252
1999-08-31;1,010032;1,06461;-43,70145;-19,279452;-41,696753;-42,76736;1,015634
1999-09-30;0,995877;1,006152;26,389424;13,306758;13,538406;8,631592;0,99908
1999-10-31;1,034638;1,061706;20,149738;16,007509;5,772119;10,539597;1,015828
1999-11-30;0,981963;1,025192;-4,162511;-3,628708;5,620911;-1,685129;0,981633
1999-12-31;1,026116;1,061457;-33,407191;-23,935788;20,102286;-20,155843;1,028889
2000-01-31;1,01507;1,035121;-6,121154;-21,089731;11,161317;6,317104;1,022336
2000-02-29;0,928798;0,96932;-5,960935;-10,452777;1,45989;0,024125;0,928423
2000-03-31;1,024956;1,053762;19,064055;8,011325;6,233179;10,375193;1,025342
2000-04-30;0,972842;0,967016;3,898552;5,763542;-9,90069;1,209303;1,024434
