;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011
1995-05-31;301,099885;2981,605998;222,57622;103,36056;111,09482;110,823519;108,868698
1995-06-30;299,973227;2970,213286;222,221417;102,952252;110,968261;111,643423;109,113911
1995-07-31;298,300591;2971,829752;221,365214;102,485994;110,672299;112,573973;109,334717
1995-08-31;296,198232;2982,253265;219,958122;101,937322;110,358064;113,704868;109,510951
1995-09-30;293,822355;2991,732706;217,973965;101,277823;110,107868;115,043193;109,615793
1995-10-31;290,891147;2999,73974;215,57895;100,547205;109,892827;116,585325;109,681209
1995-11-30;287,233623;3003,530878;212,85823;99,716004;109,588488;118,271547;109,690108
1995-12-31;283,152907;2996,63539;210,035181;98,800924;109,135279;120,038751;109,65561
1996-01-31;278,767284;2964,577986;207,289965;97,863627;108,534827;121,820077;109,599725
1996-02-29;274,322796;2907,523404;204,785072;96,961506;107,876451;123,499498;109,498409
1996-03-31;270,251977;2817,706104;202,630864;96,083707;107,258132;124,901492;109,346948
1996-04-30;266,452907;2692,441295;200,934683;95,28237;106,760166;125,909811;109,18226
1996-05-31;262,487062;2543,930085;199,718662;94,577929;106,484875;126,391904;109,02811
1996-06-30;257,780812;2406,424829;198,974571;93,969965;106,551653;126,26038;108,882577
1996-07-31;252,260868;2312,451994;198,66541;93,499903;106,996519;125,578924;108,775591
1996-08-31;245,945977;2276,939418;198,683727;93,140891;107,812917;124,524933;108,680145
1996-09-30;239,185299;2288,099476;198,877299;92,875856;109,024774;123,289477;108,599279
1996-10-31;232,726792;2318,880116;199,110261;92,71178;110,663478;122,10933;108,549145
1996-11-30;227,197635;2343,97002;199,252547;92,651308;112,640848;121,135472;108,512215
1996-12-31;222,764451;2352,711109;199,236581;92,763003;114,828964;120,436409;108,532186
1997-01-31;219,404254;2355,359751;199,14148;93,109927;117,017303;120,039471;108,602213
1997-02-28;216,966017;2371,386675;199,106119;93,65306;118,975598;119,893365;108,705213
1997-03-31;215,013004;2405,84988;199,363757;94,345288;120,549837;119,936177;108,874172
1997-04-30;213,272867;2451,5381;200,012143;95,075618;121,644687;120,11075;109,098961
1997-05-31;211,923928;2485,082631;201,068213;95,756326;122,311567;120,34467;109,311781
1997-06-30;211,034361;2480,230475;202,512547;96,389657;122,578993;120,558288;109,523297
1997-07-31;210,617048;2430,522777;204,227274;96,933275;122,504246;120,697061;109,732114
1997-08-31;210,745666;2346,758456;205,95055;97,343882;122,117537;120,694947;109,901781
1997-09-30;211,290545;2254,147857;207,533355;97,648557;121,375276;120,587769;110,050167
1997-10-31;211,924942;2169,505841;208,741571;97,825941;120,262293;120,457354;110,15483
1997-11-30;212,402291;2107,400563;209,332974;97,883772;118,873142;120,396251;110,219348
1997-12-31;212,452039;2067,307741;209,170888;97,88272;117,377277;120,568322;110,252948
1998-01-31;211,832833;2035,533823;208,117171;97,813087;116,001272;121,033156;110,210504
1998-02-28;210,541411;2001,693016;206,261842;97,715528;114,942427;121,794056;110,108527
1998-03-31;208,75549;1970,488971;203,777285;97,670051;114,35238;122,824978;109,974856
1998-04-30;206,858782;1949,175462;200,884357;97,715705;114,296995;124,055278;109,806951
1998-05-31;205,015121;1942,270352;197,72187;97,825777;114,760709;125,362524;109,590965
1998-06-30;203,401149;1953,452413;194,528321;97,996635;115,634299;126,701342;109,327023
1998-07-31;202,181665;1978,117811;191,457411;98,175231;116,697969;127,982137;108,97437
1998-08-31;201,25487;2001,689363;188,723203;98,359864;117,833878;129,103632;108,537149
1998-09-30;200,508532;2009,158535;186,470771;98,574381;118,961281;129,984865;108,054923
1998-10-31;199,746434;1998,732496;184,784594;98,80465;119,990781;130,560448;107,543062
1998-11-30;198,672787;1972,924885;183,82545;99,110356;120,930909;130,794998;107,085381
1998-12-31;197,105517;1932,28958;183,697284;99,519155;121,796;130,688424;106,722489
1999-01-31;194,985453;1889,541072;184,324151;99,989445;122,52654;130,261944;106,467063
1999-02-28;192,448971;1850,785966;185,565547;100,502085;123,132109;129,597504;106,38307
1999-03-31;189,852394;1819,985262;187,160488;101,019086;123,625267;128,798827;106,460639
1999-04-30;187,680571;1806,065454;188,845689;101,528579;124,037218;127,926507;106,643021
1999-05-31;186,230045;1813,430747;190,486901;102,099111;124,376201;127,062321;106,931173
1999-06-30;185,635932;1839,935723;191,881736;102,763905;124,59921;126,272192;107,308559
1999-07-31;185,683006;1876,26858;192,908576;103,540073;124,738382;125,593292;107,732322
1999-08-31;185,895282;1911,463884;193,528375;104,436068;124,752788;125,046142;108,218088
1999-09-30;185,999701;1938,143989;193,745649;105,358605;124,620445;124,605494;108,722976
1999-10-31;185,844283;1950,121646;193,579029;106,221184;124,417916;124,193493;109,186381
1999-11-30;185,420232;1945,541038;193,11813;106,974799;124,194893;123,796567;109,584905
1999-12-31;184,868367;1931,998393;192,54036;107,528646;123,961782;123,43931;109,85544
2000-01-31;184,377237;1909,078938;192,14495;107,854856;123,744778;123,16695;109,962868
2000-02-29;183,990621;1873,198065;192,173519;107,973426;123,545573;123,091023;109,879206
2000-03-31;183,592623;1829,711142;192,740264;107,92421;123,424485;123,309697;109,584835
2000-04-30;183,145186;1786,441979;193,813579;107,775067;123,439736;123,896385;109,129143
2000-05-31;182,480761;1751,998015;195,32568;107,639078;123,680587;124,90501;108,549663
2000-06-30;181,292688;1738,6321;197,154339;107,552653;124,215926;126,278026;107,877777
2000-07-31;179,608065;1753,317157;199,038846;107,544958;125,109287;127,873485;107,19379
2000-08-31;177,666092;1794,854737;200,756636;107,653394;126,33187;129,568481;106,603591
2000-09-30;175,685042;1845,178678;202,081634;107,857542;127,791818;131,211324;106,164121
2000-10-31;173,793956;1884,69299;202,887914;108,187389;129,387145;132,701247;105,949469
2000-11-30;172,148946;1904,157895;203,098813;108,610037;130,98538;133,98153;105,954515
2000-12-31;170,723397;1903,104258;202,633833;109,029656;132,440831;134,92368;106,122948
2001-01-31;169,450629;1891,613782;201,516449;109,400311;133,66918;135,495343;106,470378
2001-02-28;168,270823;1879,83966;199,853531;109,670302;134,660349;135,623419;106,948894
2001-03-31;167,238664;1869,784957;197,741924;109,808446;135,347606;135,249075;107,497757
2001-04-30;166,412771;1857,325325;195,411329;109,877694;135,747064;134,406107;108,111449
2001-05-31;165,961593;1840,418891;193,071822;109,909624;135,849762;133,139808;108,783695
2001-06-30;165,954415;1811,901154;190,807623;109,898735;135,769622;131,487754;109,462965
2001-07-31;166,001052;1768,116784;188,797691;109,856517;135,596107;129,519027;110,150825
2001-08-31;165,822188;1711,812259;187,098558;109,723377;135,431162;127,278291;110,763793
2001-09-30;165,29062;1654,730079;185,685426;109,480485;135,420376;124,834197;111,239175
2001-10-31;164,566262;1612,379266;184,564768;109,134529;135,554911;122,317464;111,568339
2001-11-30;163,879773;1588,252725;183,709589;108,64632;135,697326;119,820626;111,702807
2001-12-31;163,318838;1581,751981;183,132009;108,026759;135,715694;117,48358;111,642162
2002-01-31;162,792346;1590,839408;182,814637;107,327165;135,503656;115,42964;111,414825
2002-02-28;162,114714;1613,660543;182,616365;106,607004;135,052587;113,718012;111,051849
2002-03-31;161,083116;1645,542228;182,428592;105,935555;134,453048;112,372882;110,616749
2002-04-30;159,600589;1679,560259;182,125164;105,325622;133,767587;111,404855;110,186229
2002-05-31;157,86245;1706,312956;181,668883;104,718183;133,048647;110,825444;109,781837
2002-06-30;156,364858;1714,070462;181,08822;104,109183;132,266806;110,652482;109,489358
2002-07-31;155,402066;1701,4628;180,502547;103,548728;131,361567;110,959461;109,347534
2002-08-31;154,8472;1675,202505;180,036816;103,030115;130,258412;111,752113;109,326142
2002-09-30;154,243043;1643,980923;179,868658;102,606396;128,930836;113,006544;109,403032
2002-10-31;153,293563;1616,005416;180,085466;102,293619;127,398513;114,675085;109,536033
2002-11-30;151,925544;1600,450173;180,659618;102,054728;125,775438;116,593273;109,661257
2002-12-31;150,561403;1596,494513;181,553456;101,952456;124,236194;118,611544;109,812473
2003-01-31;149,685492;1593,429867;182,688128;102,032084;122,967474;120,586437;110,002387
2003-02-28;149,516033;1581,222111;183,942522;102,307357;122,059398;122,359816;110,219832
2003-03-31;149,863355;1556,774584;185,169872;102,76162;121,487204;123,866594;110,476642
2003-04-30;150,139594;1525,025061;186,298697;103,313792;121,272067;125,047238;110,72907
2003-05-31;149,68154;1494,006239;187,199527;103,903585;121,41408;125,825415;110,929604
2003-06-30;148,049774;1472,327576;187,931885;104,54433;121,857278;126,22063;111,045676
2003-07-31;145,586137;1461,133728;188,606073;105,187123;122,541506;126,250372;111,04386
2003-08-31;143,046573;1454,122373;189,317847;105,813447;123,477667;125,997831;110,892266
2003-09-30;141,241579;1449,233113;190,193567;106,423302;124,588076;125,589227;110,634761
2003-10-31;140,54937;1443,696328;191,277313;106,963168;125,757146;125,091194;110,276105
2003-11-30;140,810358;1435,360928;192,584658;107,439601;126,908749;124,590026;109,864537
2003-12-31;141,63206;1426,087416;194,005833;107,834009;128,00782;124,147787;109,442027
2004-01-31;142,489734;1417,264273;195,281629;108,08094;129,03141;123,768622;108,987624
2004-02-29;142,952329;1409,455988;196,174249;108,140183;129,97074;123,469968;108,520805
2004-03-31;142,75948;1401,217843;196,596755;108,014047;130,793102;123,292559;108,077721
2004-04-30;141,811245;1389,539825;196,505881;107,754106;131,405617;123,285675;107,656374
2004-05-31;140,215842;1376,305032;195,900737;107,391454;131,749014;123,501563;107,24644
2004-06-30;138,198312;1363,374367;194,830249;106,951589;131,848545;123,968356;106,868102
2004-07-31;136,091759;1349,999605;193,251041;106,447041;131,759864;124,670566;106,487063
2004-08-31;134,176436;1335,68161;191,174669;105,940705;131,564725;125,526174;106,132538
2004-09-30;132,628171;1319,187744;188,743944;105,490283;131,393594;126,43971;105,81759
2004-10-31;131,477496;1298,897034;186,109425;105,1293;131,357319;127,282416;105,539663
2004-11-30;130,673567;1275,832466;183,55444;104,967962;131,587623;127,989966;105,345494
2004-12-31;129,868613;1255,213262;181,32657;105,06927;132,106612;128,524121;105,233293
2005-01-31;128,801496;1244,0845;179,564367;105,387545;132,855643;128,83305;105,168542
2005-02-28;127,503858;1244,474098;178,37312;105,851033;133,736729;128,958836;105,152271
2005-03-31;126,30819;1250,831869;177,807166;106,36557;134,691181;128,925931;105,157937
2005-04-30;125,736291;1254,067371;177,900625;106,867142;135,654212;128,70327;105,150794
2005-05-31;126,082793;1244,966197;178,610632;107,365622;136,490136;128,282287;105,159155
2005-06-30;127,242627;1221,377614;179,759095;107,783937;137,14729;127,655193;105,159368
2005-07-31;128,760258;1189,570107;181,108235;108,070256;137,676993;126,826321;105,142232
2005-08-31;130,133376;1162,72218;182,535928;108,281315;138,143914;125,915373;105,148969
2005-09-30;131,070515;1156,686351;183,78439;108,417533;138,538705;124,998102;105,15969
2005-10-31;131,335383;1176,420114;184,70857;108,510409;138,9434;124,1444;105,162169
2005-11-30;130,829783;1214,490266;185,205366;108,580058;139,368559;123,412579;105,138579
2005-12-31;129,774823;1256,692771;185,140816;108,579453;139,864404;122,761111;105,035137
2006-01-31;128,480931;1285,982056;184,531115;108,565218;140,42697;122,138525;104,868497
2006-02-28;127,23207;1292,253804;183,562195;108,617105;140,98374;121,470871;104,630567
2006-03-31;126,092169;1274,533358;182,484686;108,787796;141,465223;120,73675;104,310732
2006-04-30;125,184047;1240,614336;181,435321;109,0854;141,807379;119,965075;103,940687
2006-05-31;124,71091;1201,628175;180,555212;109,502696;142,040489;119,217694;103,574934
2006-06-30;124,874757;1170,286852;179,959123;110,050505;142,175747;118,568486;103,241172
2006-07-31;125,580863;1154,378754;179,74933;110,735725;142,209189;118,054971;102,999242
2006-08-31;126,469713;1150,209546;180,006261;111,490808;142,053647;117,691858;102,883422
2006-09-30;127,062679;1147,969258;180,690662;112,247707;141,686038;117,466736;102,881437
2006-10-31;127,096233;1143,054446;181,69594;113,013273;141,053129;117,390482;103,032066
2006-11-30;126,516165;1132,755507;182,836753;113,725598;140,155339;117,451134;103,313974
2006-12-31;125,435618;1111,996878;183,970067;114,317963;138,960956;117,628149;103,68732
2007-01-31;124,166939;1086,620281;185,071917;114,783015;137,523422;117,935686;104,158177
2007-02-28;123,084168;1065,989306;186,065286;115,125719;135,977398;118,369632;104,677433
2007-03-31;122,448372;1056,425897;186,891937;115,379637;134,435477;118,864236;105,16288
2007-04-30;122,135953;1060,262962;187,572483;115,628347;132,959273;119,361103;105,574095
2007-05-31;121,807951;1077,389722;188,153633;115,950372;131,66526;119,846315;105,869351
2007-06-30;121,227671;1099,584938;188,761128;116,422452;130,606104;120,323632;106,015107
2007-07-31;120,370154;1115,647406;189,584938;117,143605;129,717667;120,886156;106,046332
2007-08-31;119,465836;1120,101004;190,645547;118,083943;128,91357;121,602711;105,952335
2007-09-30;118,829521;1109,678755;191,843023;119,160134;128,155152;122,512464;105,745645
2007-10-31;118,680943;1085,533404;193,122042;120,222125;127,478615;123,607618;105,449682
2007-11-30;119,045715;1056,510653;194,209458;121,068194;126,919694;124,754165;105,059898
2007-12-31;119,697326;1034,077443;194,850942;121,594079;126,535586;125,80481;104,631138
2008-01-31;120,263669;1023,85261;194,963261;121,726723;126,337349;126,587158;104,191447
2008-02-29;120,437087;1023,877629;194,624295;121,431374;126,246824;126,884526;103,758465
2008-03-31;120,173762;1031,953165;193,822869;120,699343;126,193099;126,527619;103,403165
2008-04-30;119,580237;1040,263237;192,588619;119,553885;126,226444;125,421029;103,161531
2008-05-31;118,776581;1038,765655;191,060511;118,00612;126,318473;123,518912;103,009766
2008-06-30;117,738701;1023,143081;189,379234;116,118212;126,386471;120,796165;102,945812
2008-07-31;116,491205;996,647103;187,691093;113,973655;126,39156;117,26719;102,92786
2008-08-31;115,0482;964,941144;186,048245;111,681684;126,296633;112,998307;102,885284
2008-09-30;113,453035;937,118073;184,586136;109,393969;126,075865;108,184145;102,809374
2008-10-31;111,846978;920,858923;183,362113;107,211731;125,680713;103,104641;102,679544
2008-11-30;110,5169;919,500275;154,806234;105,20511;125,170273;98,131797;102,490347
2008-12-31;109,623895;932,222865;154,322876;103,445483;99,519085;93,682518;102,278299
2009-01-31;109,222904;952,573627;154,196446;101,949958;98,837136;90,113269;102,036853
2009-02-28;109,150756;971,490939;154,296414;100,730867;98,193455;87,663386;101,778623
2009-03-31;109,178917;980,57228;154,543461;99,840143;97,665313;86,398365;101,546577
