Date;REG1_AC1;LY;REG2_AC1;REG2_AC2;REG3_AC1;REG3_AC2;REG3_AC3;REG5_AC1;REG5_AC2;REG5_AC3;REG5_AC4;REG5_AC5;REG6_AC1;REG6_AC2;REG6_AC3;REG6_AC4;REG6_AC5;REG6_AC6
01/09/1991;-0.665555556;1.77636E-15;-0.873616071;-0.374508929;0.625133929;-1.49875;-0.374508929;0.666746032;-0.333968254;-0.332896825;-0.332896825;-0.332539683;0.625133929;-0.375580357;-0.374508929;-0.374508929;-0.374151786;-0.374508929
01/10/1991;1.331111111;8.88178E-16;1.122455357;-0.375580357;-0.375580357;1.498035714;-0.375580357;-0.333849206;0.666865079;0.665436508;0.665793651;-0.333134921;-0.375580357;0.625133929;0.623705357;0.6240625;-0.374866071;-0.375580357
01/11/1991;-1.555;1.66533E-15;-1.0003125;0.9984375;-1.000848214;0.000535714;0.9984375;-1.111785714;-0.11;-0.111071429;-0.110714286;-0.111428571;-1.000848214;0.0009375;-0.000133929;0.000223214;-0.000491071;0.9984375
01/12/1991;-0.666111111;8.88178E-16;-0.8753125;-0.3765625;0.622366071;-1.497678571;-0.3765625;0.664206349;0.667063492;-1.332936508;-0.333650794;-0.330793651;0.622366071;0.625223214;-1.374776786;-0.375491071;-0.372633929;-0.3765625
01/01/1992;0.889444444;0;0.750133929;-0.250758929;-0.249330357;0.999464286;-0.250758929;-0.221468254;-0.221468254;-0.22218254;0.776746032;0.77781746;-0.249330357;-0.249330357;-0.250044643;0.748883929;0.749955357;-0.250758929
01/02/1992;-0.691031746;0.757857143;-0.152366071;0.969598214;-0.031473214;-0.120892857;0.969598214;-0.139206349;-0.137420635;-0.139206349;-0.137063492;-0.138134921;-0.031473214;-0.0296875;-0.031473214;-0.029330357;-0.030401786;0.969598214
01/03/1992;-0.001111111;8.88178E-16;-0.2696875;-0.4834375;0.658348214;-0.928035714;-0.4834375;0.712063492;0.570992063;-0.426865079;-0.429007937;-0.428293651;0.658348214;0.517276786;-0.480580357;-0.482723214;-0.482008929;-0.4834375
01/04/1992;0.236666667;1.77636E-15;0.069107143;-0.301607143;-0.725892857;0.795;-0.301607143;-0.692380952;-0.268809524;0.730833333;0.73547619;-0.268452381;-0.725892857;-0.302321429;0.697321429;0.701964286;-0.301964286;-0.301607143
01/05/1992;-2.139722222;8.88178E-16;-1.700647321;0.790334821;0.221227679;-1.921875;0.790334821;0.133412698;-0.29390873;-0.041051587;-0.643194444;-1.294980159;0.221227679;-0.20609375;0.046763393;-0.555379464;-1.207165179;0.790334821
01/06/1992;-0.149444444;1.9984E-15;-0.335357143;-0.334642857;-0.046785714;-0.288571429;-0.334642857;-0.009603175;0.703968254;-0.28031746;-0.267460317;-0.296031746;-0.046785714;0.666785714;-0.3175;-0.304642857;-0.333214286;-0.334642857
01/07/1992;0.885;1.22125E-15;0.747723214;-0.247098214;-0.249598214;0.997321429;-0.247098214;-0.222142857;-1.222857143;0.775714286;0.778571429;0.775714286;-0.249598214;-1.2503125;0.748258929;0.751116071;0.748258929;-0.247098214
01/08/1992;-0.665555556;8.32667E-16;-0.873839286;-0.374910714;0.625446429;-1.499285714;-0.374910714;0.667103175;-0.332896825;-0.332539683;-0.332896825;-0.334325397;0.625446429;-0.374553571;-0.374196429;-0.374553571;-0.375982143;-0.374910714
01/09/1992;0.89;1.77636E-15;0.751383929;-0.249508929;-0.249866071;1.00125;-0.249508929;-0.222142857;0.777142857;0.778214286;-0.221785714;-0.221428571;-0.249866071;0.749419643;0.750491071;-0.249508929;-0.249151786;-0.249508929
01/10/1992;-0.224444444;8.88178E-16;0.122455357;0.624419643;-0.375580357;0.498035714;0.624419643;-0.444960317;-0.444246032;-0.445674603;0.55468254;0.555753968;-0.375580357;-0.374866071;-0.376294643;0.6240625;0.625133929;0.624419643
01/11/1992;0.000555556;1.88738E-15;-0.0003125;-0.0015625;0.999151786;-0.999464286;-0.0015625;0.999325397;0.001111111;-0.999960317;0.000396825;-0.00031746;0.999151786;0.0009375;-1.000133929;0.000223214;-0.000491071;-0.0015625
01/12/1992;0.889444444;9.99201E-16;0.7496875;-0.2515625;-0.252633929;1.002321429;-0.2515625;-0.22468254;0.778174603;0.778174603;0.777460317;-1.21968254;-0.252633929;0.750223214;0.750223214;0.749508929;-1.247633929;-0.2515625
01/01/1993;-2.221666667;0;-1.874866071;0.624241071;-0.374330357;-1.500535714;0.624241071;-0.443690476;-0.443690476;-0.444404762;-0.44547619;-0.444404762;-0.374330357;-0.374330357;-0.375044643;-0.376116071;-0.375044643;0.624241071
01/02/1993;-0.13547619;-0.242142857;-0.152366071;-0.030401786;-0.031473214;-0.120892857;-0.030401786;-0.028095238;-0.026309524;-0.028095238;-0.025952381;-0.02702381;-0.031473214;-0.0296875;-0.031473214;-0.029330357;-0.030401786;-0.030401786
01/03/1993;1.554444444;8.88178E-16;1.3553125;-0.3584375;0.783348214;0.571964286;-0.3584375;0.823174603;0.682103175;0.684246032;-0.317896825;-0.31718254;0.783348214;0.642276786;0.644419643;-0.357723214;-0.357008929;-0.3584375
01/04/1993;0.236666667;1.88738E-15;0.069107143;-0.301607143;-0.725892857;0.795;-0.301607143;-0.692380952;-0.268809524;-0.269166667;0.73547619;0.731547619;-0.725892857;-0.302321429;-0.302678571;0.701964286;0.698035714;-0.301607143
01/05/1993;-0.584166667;6.66134E-16;-1.325647321;-1.334665179;0.096227679;-1.421875;-1.334665179;0.24452381;-0.182797619;0.070059524;-0.532083333;-0.183869048;0.096227679;-0.33109375;-0.078236607;-0.680379464;-0.332165179;-1.334665179
01/06/1993;1.406111111;1.77636E-15;1.289642857;-0.209642857;0.078214286;1.211428571;-0.209642857;0.101507937;0.815079365;0.830793651;-0.156349206;-0.184920635;0.078214286;0.791785714;0.8075;-0.179642857;-0.208214286;-0.209642857
01/07/1993;-0.670555556;8.88178E-16;-0.252276786;0.752901786;-0.249598214;-0.002678571;0.752901786;-0.333253968;-0.333968254;-1.335396825;0.667460317;0.664603175;-0.249598214;-0.2503125;-1.251741071;0.751116071;0.748258929;0.752901786
01/08/1993;0.89;8.32667E-16;0.751160714;-0.249910714;0.750446429;0.000714286;-0.249910714;0.778214286;0.778214286;-0.221428571;-0.221785714;-0.223214286;0.750446429;0.750446429;-0.249196429;-0.249553571;-0.250982143;-0.249910714
01/09/1993;0.89;1.77636E-15;0.751383929;-0.249508929;-0.249866071;1.00125;-0.249508929;-0.222142857;-0.222857143;0.778214286;0.778214286;-0.221428571;-0.249866071;-0.250580357;0.750491071;0.750491071;-0.249151786;-0.249508929
01/10/1993;-1.78;8.88178E-16;-1.502544643;0.499419643;-0.500580357;-1.001964286;0.499419643;-0.556071429;-0.555357143;-0.556785714;-0.556428571;0.444642857;-0.500580357;-0.499866071;-0.501294643;-0.5009375;0.500133929;0.499419643
01/11/1993;0.000555556;1.66533E-15;-0.0003125;-0.0015625;-0.000848214;0.000535714;-0.0015625;-0.000674603;1.001111111;3.96825E-05;-0.999603175;-0.00031746;-0.000848214;1.0009375;-0.000133929;-0.999776786;-0.000491071;-0.0015625
01/12/1993;2.445;6.66134E-16;1.7496875;-1.2515625;-0.252633929;2.002321429;-1.2515625;-0.113571429;-0.110714286;0.889285714;0.888571429;0.891428571;-0.252633929;-0.249776786;0.750223214;0.749508929;0.752366071;-1.2515625
01/01/1994;-0.666111111;0;-0.874866071;-0.375758929;0.625669643;-1.500535714;-0.375758929;0.667420635;-0.332579365;-0.333293651;-0.334365079;-0.333293651;0.625669643;-0.374330357;-0.375044643;-0.376116071;-0.375044643;-0.375758929
01/02/1994;-0.13547619;-0.242142857;-0.152366071;-0.030401786;-0.031473214;-0.120892857;-0.030401786;-0.028095238;-0.026309524;-0.028095238;-0.025952381;-0.02702381;-0.031473214;-0.0296875;-0.031473214;-0.029330357;-0.030401786;-0.030401786
01/03/1994;1.554444444;8.88178E-16;1.3553125;-0.3584375;-0.216651786;1.571964286;-0.3584375;-0.176825397;0.682103175;0.684246032;0.682103175;-0.31718254;-0.216651786;0.642276786;0.644419643;0.642276786;-0.357008929;-0.3584375
01/04/1994;-1.318888889;1.9984E-15;-0.930892857;0.698392857;-0.725892857;-0.205;0.698392857;-0.803492063;-0.379920635;-0.380277778;-0.375634921;0.620436508;-0.725892857;-0.302321429;-0.302678571;-0.298035714;0.698035714;0.698392857
01/05/1994;0.971388889;7.77156E-16;0.924352679;-0.084665179;0.346227679;0.578125;-0.084665179;0.355634921;0.928313492;0.181170635;-0.420972222;-0.072757937;0.346227679;0.91890625;0.171763393;-0.430379464;-0.082165179;-0.084665179
01/06/1994;1.406111111;1.77636E-15;1.289642857;-0.209642857;0.078214286;1.211428571;-0.209642857;0.101507937;-0.184920635;0.830793651;0.843650794;-0.184920635;0.078214286;-0.208214286;0.8075;0.820357143;-0.208214286;-0.209642857
01/07/1994;-2.226111111;8.88178E-16;-1.877276786;0.627901786;-0.374598214;-1.502678571;0.627901786;-0.444365079;-0.445079365;-0.446507937;-1.443650794;0.553492063;-0.374598214;-0.3753125;-0.376741071;-1.373883929;0.623258929;0.627901786
01/08/1994;0.89;8.32667E-16;0.751160714;-0.249910714;-0.249553571;1.000714286;-0.249910714;-0.221785714;0.778214286;0.778571429;-0.221785714;-0.223214286;-0.249553571;0.750446429;0.750803571;-0.249553571;-0.250982143;-0.249910714
01/09/1994;0.89;1.77636E-15;0.751383929;-0.249508929;-0.249866071;1.00125;-0.249508929;-0.222142857;-0.222857143;-0.221785714;0.778214286;0.778571429;-0.249866071;-0.250580357;-0.249508929;0.750491071;0.750848214;-0.249508929
01/10/1994;-1.78;8.88178E-16;-1.502544643;0.499419643;0.499419643;-2.001964286;0.499419643;0.443928571;-0.555357143;-0.556785714;-0.556428571;-0.555357143;0.499419643;-0.499866071;-0.501294643;-0.5009375;-0.499866071;0.499419643
01/11/1994;0.000555556;1.83187E-15;-0.0003125;-0.0015625;-0.000848214;0.000535714;-0.0015625;-0.000674603;0.001111111;1.000039683;0.000396825;-1.00031746;-0.000848214;0.0009375;0.999866071;0.000223214;-1.000491071;-0.0015625
01/12/1994;0.889444444;8.88178E-16;1.3746875;0.8734375;-0.127633929;1.502321429;0.8734375;-0.22468254;-0.221825397;-0.221825397;0.777460317;0.78031746;-0.127633929;-0.124776786;-0.124776786;0.874508929;0.877366071;0.8734375
01/01/1995;0.889444444;0;0.750133929;-0.250758929;0.750669643;-0.000535714;-0.250758929;0.778531746;0.778531746;-0.22218254;-0.223253968;-0.22218254;0.750669643;0.750669643;-0.250044643;-0.251116071;-0.250044643;-0.250758929
